date,v
1996-10-08 00:00:00+00:00,21038.53
1996-10-09 00:00:00+00:00,20870.83
1996-10-11 00:00:00+00:00,20968.16
1996-10-14 00:00:00+00:00,21029.25
1996-10-15 00:00:00+00:00,21429.93
1996-10-16 00:00:00+00:00,21397.19
1996-10-17 00:00:00+00:00,21423.74
1996-10-18 00:00:00+00:00,21612.3
1996-10-21 00:00:00+00:00,21302.95
1996-10-22 00:00:00+00:00,21123.68
1996-10-23 00:00:00+00:00,21082.15
1996-10-24 00:00:00+00:00,21003.49
1996-10-25 00:00:00+00:00,20739.97
1996-10-28 00:00:00+00:00,20885.41
1996-10-29 00:00:00+00:00,20958.08
1996-10-30 00:00:00+00:00,20681.67
1996-10-31 00:00:00+00:00,20466.86
1996-11-01 00:00:00+00:00,20633.06
1996-11-05 00:00:00+00:00,20592.33
1996-11-06 00:00:00+00:00,20991.52
1996-11-07 00:00:00+00:00,20771.11
1996-11-08 00:00:00+00:00,21201.04
1996-11-11 00:00:00+00:00,21065.08
1996-11-12 00:00:00+00:00,21206.43
1996-11-13 00:00:00+00:00,20979.44
1996-11-14 00:00:00+00:00,21031.04
1996-11-15 00:00:00+00:00,20929.73
1996-11-18 00:00:00+00:00,20796.37
1996-11-19 00:00:00+00:00,20956.18
1996-11-20 00:00:00+00:00,21189.96
1996-11-21 00:00:00+00:00,21143.34
1996-11-22 00:00:00+00:00,21216.11
1996-11-25 00:00:00+00:00,21293.57
1996-11-26 00:00:00+00:00,21418.25
1996-11-27 00:00:00+00:00,21345.28
1996-11-28 00:00:00+00:00,21035.54
1996-11-29 00:00:00+00:00,21020.36
1996-12-02 00:00:00+00:00,20674.69
1996-12-03 00:00:00+00:00,20630.56
1996-12-04 00:00:00+00:00,20659.91
1996-12-05 00:00:00+00:00,20943.9
1996-12-06 00:00:00+00:00,20276.7
1996-12-09 00:00:00+00:00,20603.71
1996-12-10 00:00:00+00:00,20822.12
1996-12-11 00:00:00+00:00,20568.38
1996-12-12 00:00:00+00:00,20501.2
1996-12-13 00:00:00+00:00,20341.39
1996-12-16 00:00:00+00:00,20422.04
1996-12-17 00:00:00+00:00,20413.46
1996-12-18 00:00:00+00:00,20093.03
1996-12-19 00:00:00+00:00,19570.67
1996-12-20 00:00:00+00:00,19690.46
1996-12-24 00:00:00+00:00,19161.71
1996-12-26 00:00:00+00:00,19291.58
1996-12-27 00:00:00+00:00,19369.04
1996-12-30 00:00:00+00:00,19361.35
1997-01-06 00:00:00+00:00,19446.0
1997-01-07 00:00:00+00:00,18896.19
1997-01-08 00:00:00+00:00,18680.38
1997-01-09 00:00:00+00:00,18073.87
1997-01-10 00:00:00+00:00,17303.65
1997-01-13 00:00:00+00:00,18118.79
1997-01-14 00:00:00+00:00,18093.13
1997-01-16 00:00:00+00:00,18144.34
1997-01-17 00:00:00+00:00,18090.04
1997-01-20 00:00:00+00:00,17480.34
1997-01-21 00:00:00+00:00,17358.16
1997-01-22 00:00:00+00:00,18013.88
1997-01-23 00:00:00+00:00,17909.46
1997-01-24 00:00:00+00:00,17689.36
1997-01-27 00:00:00+00:00,17334.9
1997-01-28 00:00:00+00:00,17796.57
1997-01-29 00:00:00+00:00,18335.3
1997-01-30 00:00:00+00:00,17864.04
1997-01-31 00:00:00+00:00,18330.01
1997-02-03 00:00:00+00:00,18085.95
1997-02-04 00:00:00+00:00,18314.33
1997-02-05 00:00:00+00:00,18185.97
1997-02-06 00:00:00+00:00,18038.43
1997-02-07 00:00:00+00:00,17867.04
1997-02-10 00:00:00+00:00,18181.17
1997-02-12 00:00:00+00:00,18409.96
1997-02-13 00:00:00+00:00,18688.06
1997-02-14 00:00:00+00:00,18722.0
1997-02-17 00:00:00+00:00,18750.65
1997-02-18 00:00:00+00:00,18470.75
1997-02-19 00:00:00+00:00,18599.12
1997-02-20 00:00:00+00:00,19051.71
1997-02-21 00:00:00+00:00,19034.54
1997-02-24 00:00:00+00:00,18896.99
1997-02-25 00:00:00+00:00,19070.07
1997-02-26 00:00:00+00:00,18990.92
1997-02-27 00:00:00+00:00,19021.56
1997-02-28 00:00:00+00:00,18557.0
1997-03-03 00:00:00+00:00,18429.13
1997-03-04 00:00:00+00:00,18564.78
1997-03-05 00:00:00+00:00,18273.51
1997-03-06 00:00:00+00:00,18041.33
1997-03-07 00:00:00+00:00,18198.74
1997-03-10 00:00:00+00:00,18113.89
1997-03-11 00:00:00+00:00,18267.72
1997-03-12 00:00:00+00:00,18183.27
1997-03-13 00:00:00+00:00,17900.48
1997-03-14 00:00:00+00:00,17923.64
1997-03-17 00:00:00+00:00,18053.5
1997-03-18 00:00:00+00:00,18445.2
1997-03-19 00:00:00+00:00,18493.71
1997-03-21 00:00:00+00:00,18633.16
1997-03-24 00:00:00+00:00,18043.82
1997-03-25 00:00:00+00:00,18439.61
1997-03-26 00:00:00+00:00,18472.45
1997-03-27 00:00:00+00:00,18210.42
1997-03-28 00:00:00+00:00,18189.72
1997-03-31 00:00:00+00:00,18003.4
1997-04-01 00:00:00+00:00,17869.59
1997-04-02 00:00:00+00:00,18037.3
1997-04-03 00:00:00+00:00,18129.31
1997-04-04 00:00:00+00:00,17860.59
1997-04-07 00:00:00+00:00,17715.67
1997-04-08 00:00:00+00:00,18021.7
1997-04-09 00:00:00+00:00,17703.37
1997-04-10 00:00:00+00:00,17485.75
1997-04-11 00:00:00+00:00,17846.98
